code,min_wage,max_wage,employee_amount,employer_amount,calculation_method,min_age,max_age
SOCSO_JUNE_2026,3300.01,3400,41.90,58.65,fixed,0,59
SOCSO_JUNE_2026,3300.01,3400,25.15,41.90,fixed,60,999
SOCSO_JUNE_2026,3400.01,3500,43.10,60.35,fixed,0,59
SOCSO_JUNE_2026,3400.01,3500,25.85,43.10,fixed,60,999
SOCSO_JUNE_2026,3500.01,3600,44.40,62.15,fixed,0,59
SOCSO_JUNE_2026,3500.01,3600,26.65,44.40,fixed,60,999
SOCSO_JUNE_2026,3600.01,3700,45.60,63.85,fixed,0,59
SOCSO_JUNE_2026,3600.01,3700,27.35,45.60,fixed,60,999
SOCSO_JUNE_2026,3700.01,3800,46.90,65.65,fixed,0,59
SOCSO_JUNE_2026,3700.01,3800,28.15,46.90,fixed,60,999
SOCSO_JUNE_2026,3800.01,3900,48.10,67.35,fixed,0,59
SOCSO_JUNE_2026,3800.01,3900,28.85,48.10,fixed,60,999
SOCSO_JUNE_2026,3900.01,4000,49.40,69.15,fixed,0,59
SOCSO_JUNE_2026,3900.01,4000,29.65,49.40,fixed,60,999
SOCSO_JUNE_2026,4000.01,4100,50.60,70.85,fixed,0,59
SOCSO_JUNE_2026,4000.01,4100,30.35,50.60,fixed,60,999
SOCSO_JUNE_2026,4100.01,4200,51.90,72.65,fixed,0,59
SOCSO_JUNE_2026,4100.01,4200,31.15,51.90,fixed,60,999
SOCSO_JUNE_2026,4200.01,4300,53.10,74.35,fixed,0,59
SOCSO_JUNE_2026,4200.01,4300,31.85,53.10,fixed,60,999
SOCSO_JUNE_2026,4300.01,4400,54.40,76.15,fixed,0,59
SOCSO_JUNE_2026,4300.01,4400,32.65,54.40,fixed,60,999
SOCSO_JUNE_2026,4400.01,4500,55.60,77.85,fixed,0,59
SOCSO_JUNE_2026,4400.01,4500,33.35,55.60,fixed,60,999
SOCSO_JUNE_2026,4500.01,4600,56.90,79.65,fixed,0,59
SOCSO_JUNE_2026,4500.01,4600,34.15,56.90,fixed,60,999
SOCSO_JUNE_2026,4600.01,4700,58.10,81.35,fixed,0,59
SOCSO_JUNE_2026,4600.01,4700,34.85,58.10,fixed,60,999
SOCSO_JUNE_2026,4700.01,4800,59.40,83.15,fixed,0,59
SOCSO_JUNE_2026,4700.01,4800,35.65,59.40,fixed,60,999
SOCSO_JUNE_2026,4800.01,4900,60.60,84.85,fixed,0,59
SOCSO_JUNE_2026,4800.01,4900,36.35,60.60,fixed,60,999
SOCSO_JUNE_2026,4900.01,5000,61.90,86.65,fixed,0,59
SOCSO_JUNE_2026,4900.01,5000,37.15,61.90,fixed,60,999
SOCSO_JUNE_2026,5000.01,5100,63.10,88.35,fixed,0,59
SOCSO_JUNE_2026,5000.01,5100,37.85,63.10,fixed,60,999
SOCSO_JUNE_2026,5100.01,5200,64.40,90.15,fixed,0,59
SOCSO_JUNE_2026,5100.01,5200,38.65,64.40,fixed,60,999
SOCSO_JUNE_2026,5200.01,5300,65.60,91.85,fixed,0,59
SOCSO_JUNE_2026,5200.01,5300,39.35,65.60,fixed,60,999
SOCSO_JUNE_2026,5300.01,5400,66.90,93.65,fixed,0,59
SOCSO_JUNE_2026,5300.01,5400,40.15,66.90,fixed,60,999
SOCSO_JUNE_2026,5400.01,5500,68.10,95.35,fixed,0,59
SOCSO_JUNE_2026,5400.01,5500,40.85,68.10,fixed,60,999
SOCSO_JUNE_2026,5500.01,5600,69.40,97.15,fixed,0,59
SOCSO_JUNE_2026,5500.01,5600,41.65,69.40,fixed,60,999
SOCSO_JUNE_2026,5600.01,5700,70.60,98.85,fixed,0,59
SOCSO_JUNE_2026,5600.01,5700,42.35,70.60,fixed,60,999
SOCSO_JUNE_2026,5700.01,5800,71.90,100.65,fixed,0,59
SOCSO_JUNE_2026,5700.01,5800,43.15,71.90,fixed,60,999
SOCSO_JUNE_2026,5800.01,5900,73.10,102.35,fixed,0,59
SOCSO_JUNE_2026,5800.01,5900,43.85,73.10,fixed,60,999
SOCSO_JUNE_2026,5900.01,6000,74.40,104.15,fixed,0,59
SOCSO_JUNE_2026,5900.01,6000,44.65,74.40,fixed,60,999
SOCSO_JUNE_2026,6000.01,,74.40,104.15,fixed,0,59
SOCSO_JUNE_2026,6000.01,,44.65,74.40,fixed,60,999
